GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)												
397512	Q8TDV5	XPABZYFJCKZPIF-UHFFFAOYSA-N	%max	100	100	%	23214471												
397607	Q8TDV5	XPEORQJWZSQTIR-UHFFFAOYSA-N	%max	44	44	%	23214471												
407526	Q8TDV5	YDOYWLYWLCMJMN-UHFFFAOYSA-N	%max	128	128	%	23214471												
408513	Q8TDV5	YEZQIIRCXXNHPM-UHFFFAOYSA-N	%max	69	69	%	23214471												
408594	Q8TDV5	YFCPLEXUWLGAKY-UHFFFAOYSA-N	%max	64	64	%	23214471												
427016	Q8TDV5	ZFFXCNQBNKCWOX-UHFFFAOYSA-N	%max	131	131	%	23214471												
436539	Q8TDV5	ZSQFUAXMTVBXLK-UHFFFAOYSA-N	%max	109	109	%	23214471												
467380	Q8TDV5	BYYUQXQZCAHDIN-UHFFFAOYSA-N	%max	49	49	%	26433449												
470698	Q8TDV5	DLTGSAWGCDANNP-UHFFFAOYSA-N	%max	99	99	%	26433449												
481908	Q8TDV5	JLJVLLNZCMNSLJ-UHFFFAOYSA-N	%max	88	88	%	26433449												
482852	Q8TDV5	JWHKXNLBDHGTSF-UHFFFAOYSA-N	%max	64	64	%	26433449												
485106	Q8TDV5	KVLGFMVRLPXNIB-UHFFFAOYSA-N	%max	38	38	%	26433449												
485106	Q8TDV5	KVLGFMVRLPXNIB-UHFFFAOYSA-N	%max	54	54	%	26433449												
488711	Q8TDV5	MLASPWOAHBDBIF-UHFFFAOYSA-N	%max	87	87	%	26433449												
488793	Q8TDV5	MLWRYMBTUPBRDD-UHFFFAOYSA-N	%max	88	88	%	26433449												
492518	Q8TDV5	ODKWOPBKCDCLCQ-UHFFFAOYSA-N	%max	74	74	%	26433449												
494681	Q8TDV5	PCTQWSQPRZFIMC-UHFFFAOYSA-N	%max	78	78	%	26433449												
511519	Q8TDV5	XJWSKHPCAXUEOL-UHFFFAOYSA-N	%max	78	78	%	26433449												
514742	Q8TDV5	YVVXUESAUMDUNI-UHFFFAOYSA-N	%max	52	52	%	26433449												
514742	Q8TDV5	YVVXUESAUMDUNI-UHFFFAOYSA-N	%max	56	56	%	26433449												
515733	Q8TDV5	ZHODOKDBUPKJHF-UHFFFAOYSA-N	%max	65	65	%	26433449												
515733	Q8TDV5	ZHODOKDBUPKJHF-UHFFFAOYSA-N	%max	83	83	%	26433449												
4201	Q8TDV5	AFJBIEFMCXULHJ-UHFFFAOYSA-N	Activity	42	42	%	22061639												
7519	Q8TDV5	AKGNFCPSDUTHKQ-UHFFFAOYSA-N	Activity	45	45	%	20227877												
10330	Q8TDV5	AOLJFWZJDVEKRK-UHFFFAOYSA-N	Activity	118	118	%	20227877												
