GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)												
221118	Q8TDV5	NECPZPFCWSYRMX-UHFFFAOYSA-N	EC50	630.96	630.96	nM	23214471												
221344	Q8TDV5	NENDZDPYEWSGOA-UHFFFAOYSA-N	EC50	89	89	nM	23648181												
221576	Q8TDV5	NEUZVFSMXDYIRA-CQSZACIVSA-N	EC50	14	14	nM	22545772												
222147	Q8TDV5	NFOVJGIKZNDICV-UHFFFAOYSA-N	EC50	2600	2600	nM	20227877												
222211	Q8TDV5	NFRPMJYMEAPYRC-UHFFFAOYSA-N	EC50	121	121	nM	23234271												
222239	Q8TDV5	NFTMKHWBOINJGM-UHFFFAOYSA-N	EC50	5000	5000	nM	24751443												
223395	Q8TDV5	NHMGDIAXSQUQCQ-UHFFFAOYSA-N	EC50	5980	5980	nM	21310611												
223792	Q8TDV5	NHYIMVKZDSVESN-UHFFFAOYSA-N	EC50	30	30	nM	24440299												
224546	Q8TDV5	NIYMQIABTQSNEX-UHFFFAOYSA-N	EC50	31.62	31.62	nM	23214471												
226288	Q8TDV5	NLKCNJJOSWUYBO-UHFFFAOYSA-N	EC50	960	960	nM	23648181												
226386	Q8TDV5	NLNQDGOWAKZUFC-JGCGQSQUSA-N	EC50	630.96	630.96	nM	23214471												
226387	Q8TDV5	NLNQDGOWAKZUFC-UHFFFAOYSA-N	EC50	50.12	50.12	nM	23214471												
226387	Q8TDV5	NLNQDGOWAKZUFC-UHFFFAOYSA-N	EC50	630.96	630.96	nM	23214471												
226388	Q8TDV5	NLNQDGOWAKZUFC-YTTGMZPUSA-N	EC50	50.12	50.12	nM	23214471												
226820	Q8TDV5	NMFLPNKHJXTHLM-UHFFFAOYSA-N	EC50	1200	1200	nM	18698756												
227177	Q8TDV5	NMRNIBUKFKAYKO-UHFFFAOYSA-N	EC50	100000000	100000000	nM	24900416												
228528	Q8TDV5	NORKIELCZLVWEV-UHFFFAOYSA-N	EC50	30	30	nM	23211099												
229398	Q8TDV5	NQBAUZFNBYRWFJ-UHFFFAOYSA-N	EC50	115	115	nM	22765901												
229748	Q8TDV5	NQRCCEJGRLKTQC-UHFFFAOYSA-N	EC50	560	560	nM	24751443												
230001	Q8TDV5	NRCJOYXLUVKQFQ-UHFFFAOYSA-N	EC50	90	90	nM	20227877												
230197	Q8TDV5	NRJQNFPQCLDLSO-UHFFFAOYSA-N	EC50	7.5	7.5	nM	21444206												
230811	Q8TDV5	NSIPJUIYSRQPNL-ROUUACIJSA-N	EC50	30	30	nM	21536438												
231171	Q8TDV5	NSVMLZOLRAILQD-HOTGVXAUSA-N	EC50	6.7	6.7	nM	23374864												
232421	Q8TDV5	NUKYMISPDVXQLM-UHFFFAOYSA-N	EC50	80	80	nM	24440299												
233719	Q8TDV5	NWHYTINIPMNUJF-UHFFFAOYSA-N	EC50	52	52	nM	22765901												
233989	Q8TDV5	NWTGCVSFINLOGB-UHFFFAOYSA-N	EC50	79.43	79.43	nM	23214471												
234111	Q8TDV5	NWYOSKDGRRMXMP-UHFFFAOYSA-N	EC50	121	121	nM	22765901												
234520	Q8TDV5	NXNZCIXBIDICRH-UHFFFAOYSA-N	EC50	103	103	nM	21273063												
236880	Q8TDV5	OBCYIDQCUJDTIC-UHFFFAOYSA-N	EC50	456	456	nM	22061639												
237015	Q8TDV5	OBHZOKPGFQXCPV-UHFFFAOYSA-N	EC50	250	250	nM	21444206												
237199	Q8TDV5	OBQCWJUHMUOTDP-UHFFFAOYSA-N	EC50	79.43	79.43	nM	23214471												
237395	Q8TDV5	OBUZOPJDMBTCDN-UHFFFAOYSA-N	EC50	660	660	nM	18698756												
237852	Q8TDV5	OCMMQYHDWUOQAS-UHFFFAOYSA-N	EC50	770	770	nM	24508142												
240107	Q8TDV5	OFTFVGGLZNKFEV-UHFFFAOYSA-N	EC50	158.49	158.49	nM	23214471												
240507	Q8TDV5	OGGSMYNGPMPXSQ-UHFFFAOYSA-N	EC50	800	800	nM	23211099												
241200	Q8TDV5	OHBYIWNTLDJBPZ-HOTGVXAUSA-N	EC50	54	54	nM	21536438												
242197	Q8TDV5	OIMKZEHROMCQGF-UHFFFAOYSA-N	EC50	270	270	nM	23648181												
242857	Q8TDV5	OJLAREQGQWVPGM-UHFFFAOYSA-N	EC50	50	50	nM	23648181												
243013	Q8TDV5	OJQMXDUETVOTAM-UHFFFAOYSA-N	EC50	14	14	nM	24755425												
244128	Q8TDV5	OLDOACNQKIEVCU-UHFFFAOYSA-N	EC50	0	10000	nM	23357035												
244235	Q8TDV5	OLHPKUPQTKGJTN-UHFFFAOYSA-N	EC50	0	8510	nM	23234271												
246854	Q8TDV5	OPBQHNZSOOLCPP-UHFFFAOYSA-N	EC50	316.23	316.23	nM	23214471												
248478	Q8TDV5	ORGZHQHMKHQREG-UHFFFAOYSA-N	EC50	98	98	nM	21273063												
249784	Q8TDV5	OTEDYPFTWYZQEE-UHFFFAOYSA-N	EC50	300	300	nM	20227877												
249895	Q8TDV5	OTILYYCTGBTYKO-UHFFFAOYSA-N	EC50	46	46	nM	22765901												
251883	Q8TDV5	OWIXGPSLIFEOOY-AZUAARDMSA-N	EC50	24	24	nM	22061639												
252639	Q8TDV5	OXMFKUBBAMCZJL-UHFFFAOYSA-N	EC50	0	10000	nM	23357035												
252754	Q8TDV5	OXQHYPOOQFVCIO-UHFFFAOYSA-N	EC50	60	60	nM	22264481												
253759	Q8TDV5	OZBFVTHSHFZADO-UHFFFAOYSA-N	EC50	238	238	nM	24332491												
254498	Q8TDV5	OZYVKCFYXTTYJW-UHFFFAOYSA-N	EC50	169	169	nM	23234271												
254748	Q8TDV5	PAGYKRBZAXKOAL-UHFFFAOYSA-N	EC50	610	610	nM	23648181												
255354	Q8TDV5	PAZIYVLFJMEHAP-UHFFFAOYSA-N	EC50	299	299	nM	24332491												
255544	Q8TDV5	PBFRNIOGCGCFEK-UHFFFAOYSA-N	EC50	0	30000	nM	24440299												
255898	Q8TDV5	PBSVSBNHXKJZKV-UHFFFAOYSA-N	EC50	91	91	nM	23648181												
256010	Q8TDV5	PBWNUNVXZZYHOC-MRXNPFEDSA-N	EC50	16	16	nM	22545772												
256865	Q8TDV5	PDERQTYFIHOIDC-UHFFFAOYSA-N	EC50	1100	1100	nM	22264481												
257373	Q8TDV5	PDXPPBBOOBHYGL-UHFFFAOYSA-N	EC50	17	17	nM	23234271												
258812	Q8TDV5	PFZMZPXWQVAMES-FZBAJKBMSA-N	EC50	1150	1150	nM	21536438												
259285	Q8TDV5	PGPIOPGNNVNHMM-UHFFFAOYSA-N	EC50	1800	1800	nM	20227877												
259458	Q8TDV5	PGXPWGAAHUNTQI-UHFFFAOYSA-N	EC50	19	19	nM	21273063												
259969	Q8TDV5	PHOISNUGBIDGLQ-UHFFFAOYSA-N	EC50	78	78	nM	24755425												
260199	Q8TDV5	PHWVTRUGFJHBHQ-UHFFFAOYSA-N	EC50	50	50	nM	24440299												
260328	Q8TDV5	PIBUAWQVXIVQAS-UHFFFAOYSA-N	EC50	40	40	nM	23234271												
260864	Q8TDV5	PIXBQEQXNYTIRX-DLBZAZTESA-N	EC50	39	39	nM	22545772												
261229	Q8TDV5	PJKKZSMSDDSMEJ-UHFFFAOYSA-N	EC50	122	122	nM	22061639												
262624	Q8TDV5	PLILOTGLZKBWAX-ROUUACIJSA-N	EC50	0	10000	nM	23374864												
263032	Q8TDV5	PLYKTOLQBIXXGU-GJZGRUSLSA-N	EC50	166	166	nM	21536438												
263068	Q8TDV5	PLZGWLLSOZJYGM-ROUUACIJSA-N	EC50	15	15	nM	21536438												
263147	Q8TDV5	PMDACOFLLOSGMY-UHFFFAOYSA-N	EC50	161	161	nM	22765901												
263439	Q8TDV5	PMNRPLNHHUMDRO-UHFFFAOYSA-N	EC50	0	10000	nM	23357035												
264108	Q8TDV5	PNLYWRXTTZTKPC-UHFFFAOYSA-N	EC50	0	10000	nM	20227877												
265408	Q8TDV5	PPFBJVUEGARPHQ-UHFFFAOYSA-N	EC50	116	116	nM	21273063												
265508	Q8TDV5	PPICGTVUHWHTSZ-UHFFFAOYSA-N	EC50	96	96	nM	23234271												
266460	Q8TDV5	PQSOMXBPDSHUJE-UHFFFAOYSA-N	EC50	600	600	nM	21273063												
267926	Q8TDV5	PSTAUCWYFNORSZ-UHFFFAOYSA-N	EC50	31	31	nM	22264481												
268274	Q8TDV5	PTFCJKSVMIWRPR-UHFFFAOYSA-N	EC50	535	535	nM	22061639												
268472	Q8TDV5	PTKUOLRNYVRZEL-UHFFFAOYSA-N	EC50	3.4	3.4	nM	18698756												
268599	Q8TDV5	PTPNJFIDUNZFMA-UHFFFAOYSA-N	EC50	5	5	nM	24755425												
268644	Q8TDV5	PTRHKBLJKYCVLV-GJZGRUSLSA-N	EC50	61	61	nM	21536438												
269066	Q8TDV5	PUICBGQQISDALE-UHFFFAOYSA-N	EC50	117	117	nM	22765901												
269669	Q8TDV5	PVCFBCABNZROKN-UHFFFAOYSA-N	EC50	1410	1410	nM	22264481												
270331	Q8TDV5	PWBRLDPIRDUGRG-UHFFFAOYSA-N	EC50	33	33	nM	24332491												
271442	Q8TDV5	PXMWCGIHDBPCJK-UHFFFAOYSA-N	EC50	71	71	nM	22264481												
272093	Q8TDV5	PYMAMRCIPWXUOA-RBFZIWAESA-N	EC50	15.85	15.85	nM	"MedChemComm, (2013) 4:1:95"												
272194	Q8TDV5	PYPROMLQJSTKNW-UHFFFAOYSA-N	EC50	5	5	nM	21273063												
274843	Q8TDV5	QCIKTRZVLCLGFT-INIZCTEOSA-N	EC50	1380	1380	nM	21310611												
274844	Q8TDV5	QCIKTRZVLCLGFT-MRXNPFEDSA-N	EC50	79.4328	79.4328	nM	21310611												
274844	Q8TDV5	QCIKTRZVLCLGFT-MRXNPFEDSA-N	EC50	80	80	nM	21310611												
277692	Q8TDV5	QGMBKENQJILTEB-UHFFFAOYSA-N	EC50	51	51	nM	24755425												
278334	Q8TDV5	QHKHYAINNYFMBD-UHFFFAOYSA-N	EC50	149	149	nM	22765901												
279075	Q8TDV5	QIKMKYWRYBRCJY-UHFFFAOYSA-N	EC50	526	526	nM	21273063												
279279	Q8TDV5	QIRMKHKIAOSXTB-CYBMUJFWSA-N	EC50	234	234	nM	22545772												
279988	Q8TDV5	QJSMJTLHTZTMJJ-UHFFFAOYSA-N	EC50	1600	1600	nM	23648181												
281019	Q8TDV5	QLFSWYDWDAUAJV-UHFFFAOYSA-N	EC50	144	144	nM	23234271												
281780	Q8TDV5	QMISNMYENQGXGS-UHFFFAOYSA-N	EC50	1060	1060	nM	23648181												
282209	Q8TDV5	QNAOVZXVOZZSTA-UHFFFAOYSA-N	EC50	11.6	11.6	nM	21444206												
282820	Q8TDV5	QNZGOCDWNPUGBT-UHFFFAOYSA-N	EC50	4	4	nM	24751443												
283132	Q8TDV5	QOLHUCVLXVPCQL-HTWSVDAQSA-N	EC50	2580	2580	nM	21536438												
283133	Q8TDV5	QOLHUCVLXVPCQL-LEOMRAHMSA-N	EC50	0	20000	nM	21536438												
286237	Q8TDV5	QTBSMZUWNKCUQV-UHFFFAOYSA-N	EC50	7.8	7.8	nM	18698756												
286537	Q8TDV5	QTPXWAYFIFJGGF-UHFFFAOYSA-N	EC50	100	100	nM	23214471												
286943	Q8TDV5	QUFNQJPLOOKXGX-UHFFFAOYSA-N	EC50	0	10000	nM	20227877												
287389	Q8TDV5	QUWCIKHGEJGREN-UHFFFAOYSA-N	EC50	0	10000	nM	23177788												
287555	Q8TDV5	QVBUMEULLREINA-UHFFFAOYSA-N	EC50	202	202	nM	23234271												
289002	Q8TDV5	QXAYQFDXSWMLCM-UHFFFAOYSA-N	EC50	130	130	nM	23234271												
289952	Q8TDV5	QYOSKYNGFOIKLO-UHFFFAOYSA-N	EC50	0	10000	nM	23357035												
290605	Q8TDV5	QZMJKQWYWOFUDT-UHFFFAOYSA-N	EC50	8.1	8.1	nM	21444206												
290762	Q8TDV5	QZSGQPLGMORIGT-UHFFFAOYSA-N	EC50	67	67	nM	24755425												
292336	Q8TDV5	RBRDEWBRPQBVDG-UHFFFAOYSA-N	EC50	4000	4000	nM	23648181												
293243	Q8TDV5	RDCJWTSRPRQNRI-OAHLLOKOSA-N	EC50	45	45	nM	22545772												
293257	Q8TDV5	RDCVTCCVZBQMNZ-UHFFFAOYSA-N	EC50	0	10000	nM	21361292												
293257	Q8TDV5	RDCVTCCVZBQMNZ-UHFFFAOYSA-N	EC50	65	65	nM	21361292												
293375	Q8TDV5	RDIQKPSJBZYAJM-IRXDYDNUSA-N	EC50	30	30	nM	21536438												
293654	Q8TDV5	RDSUNKJPRRBDOJ-UHFFFAOYSA-N	EC50	76	76	nM	22061639												
293833	Q8TDV5	RDYIDUIRYJCALX-UHFFFAOYSA-N	EC50	117	117	nM	22765901												
294450	Q8TDV5	REVHGAGSNKNWNB-CYBMUJFWSA-N	EC50	100	100	nM	22545772												
295142	Q8TDV5	RGACNFDMTKAALK-UHFFFAOYSA-N	EC50	19	19	nM	21273063												
295719	Q8TDV5	RGSFMQKVZUPXLA-UHFFFAOYSA-N	EC50	270	270	nM	24440299												
296299	Q8TDV5	RHLKIVUEHCVGSH-UHFFFAOYSA-N	EC50	21	21	nM	"2,362,833,622,545,770"												
296651	Q8TDV5	RHYIQRLLDJSZDP-UHFFFAOYSA-N	EC50	1100	1100	nM	24751443												
296653	Q8TDV5	RHYMOJWEUNUDFE-UHFFFAOYSA-N	EC50	28	28	nM	24900416												
296653	Q8TDV5	RHYMOJWEUNUDFE-UHFFFAOYSA-N	EC50	28.2	28.2	nM	24900416												
296912	Q8TDV5	RIKHVBSKPOGBAX-UHFFFAOYSA-N	EC50	2950	2950	nM	23648181												
297299	Q8TDV5	RIXRXGYTQCHPBY-UHFFFAOYSA-N	EC50	25.12	25.12	nM	23214471												
297347	Q8TDV5	RIZKCWAKTJGVKW-UHFFFAOYSA-N	EC50	19	19	nM	24332491												
297588	Q8TDV5	RJHZMOMIQRYDJL-UHFFFAOYSA-N	EC50	550	550	nM	24440299												
297911	Q8TDV5	RJSYUHPZVHYMGW-UHFFFAOYSA-N	EC50	0	30000	nM	22545772												
298372	Q8TDV5	RKLGJSYZCKSOIU-CALCHBBNSA-N	EC50	64	64	nM	22545772												
298452	Q8TDV5	RKNZIAKXAHRDEZ-UHFFFAOYSA-N	EC50	44	44	nM	24508142												
298501	Q8TDV5	RKQRWRDNVNISMI-UHFFFAOYSA-N	EC50	2500	2500	nM	24508142												
299163	Q8TDV5	RLNJMHMBIJOATD-UHFFFAOYSA-N	EC50	101	101	nM	24755425												
299940	Q8TDV5	RMQBCFUMFGANFC-UHFFFAOYSA-N	EC50	25	25	nM	18698756												
299967	Q8TDV5	RMQZXNFGXMUZEH-UHFFFAOYSA-N	EC50	1700	1700	nM	24508142												
300045	Q8TDV5	RMSLKDKIRXQRMO-UHFFFAOYSA-N	EC50	240	240	nM	23177788												
300336	Q8TDV5	RNCKTWHQXIORDB-UHFFFAOYSA-N	EC50	1345	1345	nM	22061639												
300882	Q8TDV5	RNXQXVJILIUHTG-UHFFFAOYSA-N	EC50	7.4	7.4	nM	21444206												
303491	Q8TDV5	RRSQHAZOQJOIFI-UHFFFAOYSA-N	EC50	2330	2330	nM	22264481												
306321	Q8TDV5	RVRHOQRHZOCZSI-UHFFFAOYSA-N	EC50	1258.93	1258.93	nM	23214471												
306592	Q8TDV5	RWBWCXVARSSZKV-UHFFFAOYSA-N	EC50	20	20	nM	21273063												
306592	Q8TDV5	RWBWCXVARSSZKV-UHFFFAOYSA-N	EC50	38	38	nM	21273063												
306915	Q8TDV5	RWQKIGZIUGVLET-UHFFFAOYSA-N	EC50	6	6	nM	21273063												
307110	Q8TDV5	RWXDSWAVXKMDMF-UHFFFAOYSA-N	EC50	18	18	nM	21273063												
307112	Q8TDV5	RWXKSLAZBIBOMO-UHFFFAOYSA-N	EC50	357	357	nM	24332491												
307959	Q8TDV5	RYBYVKDGSLFNOG-UHFFFAOYSA-N	EC50	8.4	8.4	nM	24508142												
308038	Q8TDV5	RYFRFQRPKZRMCA-UHFFFAOYSA-N	EC50	90	90	nM	24440299												
308326	Q8TDV5	RYSKVOFRRQUFHA-UHFFFAOYSA-N	EC50	316.23	316.23	nM	23214471												
310171	Q8TDV5	SBMDSJBGWCTTBK-UHFFFAOYSA-N	EC50	0	30000	nM	22061639												
310948	Q8TDV5	SCMOUJFEKMABPA-UHFFFAOYSA-N	EC50	60	60	nM	24440299												
310989	Q8TDV5	SCNSHISVJKQLNR-UHFFFAOYSA-N	EC50	1320	1320	nM	22264481												
311239	Q8TDV5	SCXUAEJEQZMUEV-UHFFFAOYSA-N	EC50	2120	2120	nM	23648181												
311473	Q8TDV5	SDGHYCIXEZKBLQ-UHFFFAOYSA-N	EC50	15	15	nM	24900416												
311473	Q8TDV5	SDGHYCIXEZKBLQ-UHFFFAOYSA-N	EC50	22	22	nM	24900416												
311473	Q8TDV5	SDGHYCIXEZKBLQ-UHFFFAOYSA-N	EC50	22.1	22.1	nM	24900416												
312019	Q8TDV5	SEFGCAWIEXGQET-UHFFFAOYSA-N	EC50	0	1937	nM	22545772												
312874	Q8TDV5	SFJAFRSDVYDKBZ-UHFFFAOYSA-N	EC50	490	490	nM	22264481												
313128	Q8TDV5	SFQBQYYGWHSCJC-UHFFFAOYSA-N	EC50	9	9	nM	23628336												
313297	Q8TDV5	SFWORIUDBFNINU-UHFFFAOYSA-N	EC50	2.78	2.78	nM	24900416												
313297	Q8TDV5	SFWORIUDBFNINU-UHFFFAOYSA-N	EC50	2.8	2.8	nM	24900416												
313297	Q8TDV5	SFWORIUDBFNINU-UHFFFAOYSA-N	EC50	5.36	5.36	nM	24900416												
313297	Q8TDV5	SFWORIUDBFNINU-UHFFFAOYSA-N	EC50	5.4	5.4	nM	24900416												
313582	Q8TDV5	SGGZIUPJAKDCPG-UHFFFAOYSA-N	EC50	260	260	nM	23177788												
315643	Q8TDV5	SJCMGUWYFGRDHY-UHFFFAOYSA-N	EC50	350	350	nM	23648181												
317465	Q8TDV5	SLSPNYOCUFUUHM-UHFFFAOYSA-N	EC50	630.96	630.96	nM	23214471												
317672	Q8TDV5	SLZVKIRSPIZHMD-UHFFFAOYSA-N	EC50	884	884	nM	21310611												
318359	Q8TDV5	SNAOGTUJDXPNEK-UHFFFAOYSA-N	EC50	50.12	50.12	nM	23214471												
320371	Q8TDV5	SPYLNUFOHPRCGV-GJZGRUSLSA-N	EC50	330	330	nM	21536438												
320388	Q8TDV5	SPYYSSJCCWKFGM-VQIMIIECSA-N	EC50	2	2	nM	21273063												
320437	Q8TDV5	SQAOFWPVTLZDNS-IRXDYDNUSA-N	EC50	34	34	nM	21536438												
321086	Q8TDV5	SQYOFLMCCJPQHI-IRXDYDNUSA-N	EC50	18	18	nM	21536438												
321723	Q8TDV5	SRWRKDGAKWGNNZ-UHFFFAOYSA-N	EC50	125.89	125.89	nM	23214471												
322102	Q8TDV5	SSNDJZBLMUHRNM-UHFFFAOYSA-N	EC50	0	10000	nM	23214471												
323349	Q8TDV5	SUGAFSCTMRIQEW-UHFFFAOYSA-N	EC50	11	11	nM	24332491												
323828	Q8TDV5	SUUWVLAQBRQFNT-UHFFFAOYSA-N	EC50	340	340	nM	24751443												
324310	Q8TDV5	SVMYAXGNZKJUKV-UHFFFAOYSA-N	EC50	19	19	nM	24900416												
324310	Q8TDV5	SVMYAXGNZKJUKV-UHFFFAOYSA-N	EC50	19.3	19.3	nM	24900416												
324310	Q8TDV5	SVMYAXGNZKJUKV-UHFFFAOYSA-N	EC50	30	30	nM	24900416												
324310	Q8TDV5	SVMYAXGNZKJUKV-UHFFFAOYSA-N	EC50	30.2	30.2	nM	24900416												
325076	Q8TDV5	SWOVRIONHBWLMV-OAHLLOKOSA-N	EC50	5	5	nM	23628336												
325076	Q8TDV5	SWOVRIONHBWLMV-OAHLLOKOSA-N	EC50	5	5	nM	"2,362,833,622,545,770"												
325076	Q8TDV5	SWOVRIONHBWLMV-OAHLLOKOSA-N	EC50	5.012	5.012	nM	"MedChemComm, (2013) 4:1:95"												
325820	Q8TDV5	SXSMMTDDUZRWTE-UHFFFAOYSA-N	EC50	39.81	39.81	nM	23214471												
325879	Q8TDV5	SXVGSSRKHJVMFX-UHFFFAOYSA-N	EC50	70	70	nM	24440299												
327015	Q8TDV5	SZLINIYVVBLSNB-UHFFFAOYSA-N	EC50	115	115	nM	22264481												
328189	Q8TDV5	TVBGGIHNBOONNF-UHFFFAOYSA-N	EC50	19	19	nM	23628336												
328720	Q8TDV5	TVVRUELYQUKMOC-UHFFFAOYSA-N	EC50	5.6	5.6	nM	21444206												
328895	Q8TDV5	TWCHLIQJSGQBEV-UHFFFAOYSA-N	EC50	398.11	398.11	nM	23214471												
329232	Q8TDV5	TWNLUCSCGWJPQM-UHFFFAOYSA-N	EC50	1700	1700	nM	18698756												
330489	Q8TDV5	TYKANWVCVGBBPK-GFCCVEGCSA-N	EC50	25.12	25.12	nM	"MedChemComm, (2013) 4:1:95"												
330489	Q8TDV5	TYKANWVCVGBBPK-GFCCVEGCSA-N	EC50	28	28	nM	25286150												
331632	Q8TDV5	UAAFTIMHEYCTTN-IRXDYDNUSA-N	EC50	7	7	nM	21536438												
331851	Q8TDV5	UAHQMRMCBWBRIN-UHFFFAOYSA-N	EC50	2	2	nM	21273063												
332063	Q8TDV5	UAOJXKOJGNIAGM-UHFFFAOYSA-N	EC50	300	300	nM	23234271												
334077	Q8TDV5	UDHFXHPKMYKCBY-QGZVFWFLSA-N	EC50	79	79	nM	22545772												
334189	Q8TDV5	UDLFDWBCKIFPPV-UHFFFAOYSA-N	EC50	2740	2740	nM	23648181												
334237	Q8TDV5	UDMVFDQGWCZSIY-UHFFFAOYSA-N	EC50	161	161	nM	22545772												
335567	Q8TDV5	UFJZVFBUUIBTHV-CYBMUJFWSA-N	EC50	20	20	nM	"2,362,833,622,545,770"												
335839	Q8TDV5	UFULLCXQSXNKKG-UHFFFAOYSA-N	EC50	550	550	nM	22765901												
336104	Q8TDV5	UGCOTKWHZOAJOP-UHFFFAOYSA-N	EC50	28	28	nM	24755425												
336847	Q8TDV5	UHLGXERNEUPQIX-GJZGRUSLSA-N	EC50	112	112	nM	21536438												
337465	Q8TDV5	UIGMXUHDQDBMNZ-UHFFFAOYSA-N	EC50	47	47	nM	23177788												
338664	Q8TDV5	UKCJYKRKMMMATL-UHFFFAOYSA-N	EC50	25	25	nM	24508142												
338823	Q8TDV5	UKIRDFAQOIZTRR-UHFFFAOYSA-N	EC50	0.2	0.2	nM	21273063												
338881	Q8TDV5	UKKQBSXEAZYNQU-UHFFFAOYSA-N	EC50	39	39	nM	23234271												
339203	Q8TDV5	UKWZXIPCKWWPPT-UHFFFAOYSA-N	EC50	300	300	nM	20227877												
339476	Q8TDV5	ULFXUVFXHTYAIU-AZUAARDMSA-N	EC50	12	12	nM	22061639												
339836	Q8TDV5	ULTPMBFRFOMPCB-UHFFFAOYSA-N	EC50	6	6	nM	21273063												
340422	Q8TDV5	UMQNYTUNLBJMQR-UHFFFAOYSA-N	EC50	1500	1500	nM	24440299												
340874	Q8TDV5	UNGZTVLHLKAKQE-OAHLLOKOSA-N	EC50	7.943	7.943	nM	"MedChemComm, (2013) 4:1:95"												
340874	Q8TDV5	UNGZTVLHLKAKQE-OAHLLOKOSA-N	EC50	8	8	nM	"2,362,833,622,545,770"												
340874	Q8TDV5	UNGZTVLHLKAKQE-OAHLLOKOSA-N	EC50	8	8	nM	23628336												
341574	Q8TDV5	UOHKDTYTDYSZSF-UHFFFAOYSA-N	EC50	122	122	nM	24755425												
341648	Q8TDV5	UOKGAEQHSGMXAU-UHFFFAOYSA-N	EC50	100	100	nM	24440299												
341802	Q8TDV5	UOQLXASQSQZGME-UHFFFAOYSA-N	EC50	110	110	nM	24751443												
342649	Q8TDV5	UPYCDEKRPGYCAF-DEOSSOPVSA-N	EC50	0	10000	nM	24751443												
342650	Q8TDV5	UPYCDEKRPGYCAF-UHFFFAOYSA-N	EC50	20	20	nM	24751443												
342652	Q8TDV5	UPYCDEKRPGYCAF-XMMPIXPASA-N	EC50	17	17	nM	24751443												
343881	Q8TDV5	URQTXDVCVHDJGR-UHFFFAOYSA-N	EC50	88	88	nM	23234271												
344851	Q8TDV5	UTACZNPUGSYRHK-UHFFFAOYSA-N	EC50	0	10000	nM	23214471												
344962	Q8TDV5	UTEIJJONULGZNT-UHFFFAOYSA-N	EC50	2000	2000	nM	20227877												
345439	Q8TDV5	UTVCYBZANZGTEJ-UHFFFAOYSA-N	EC50	3.4	3.4	nM	21444206												
345474	Q8TDV5	UTWCXWCVPJBVKV-UHFFFAOYSA-N	EC50	120	120	nM	24440299												
345957	Q8TDV5	UUMPPUAHNVJXCJ-UHFFFAOYSA-N	EC50	13	13	nM	21273063												
347209	Q8TDV5	UWEWDAUOURLDRE-UHFFFAOYSA-N	EC50	43.6	43.6	nM	24900416												
347209	Q8TDV5	UWEWDAUOURLDRE-UHFFFAOYSA-N	EC50	44	44	nM	24900416												
347209	Q8TDV5	UWEWDAUOURLDRE-UHFFFAOYSA-N	EC50	62.9	62.9	nM	24900416												
347209	Q8TDV5	UWEWDAUOURLDRE-UHFFFAOYSA-N	EC50	63	63	nM	24900416												
347209	Q8TDV5	UWEWDAUOURLDRE-UHFFFAOYSA-N	EC50	141	141	nM	24900416												
347778	Q8TDV5	UWZMWQPVUDFMAB-UHFFFAOYSA-N	EC50	0	10000	nM	20227877												
348818	Q8TDV5	UYNRXHLOVGNPCH-MRXNPFEDSA-N	EC50	630.96	630.96	nM	"MedChemComm, (2013) 4:1:95"												
349717	Q8TDV5	UZVGRPOORJEDHS-UHFFFAOYSA-N	EC50	210	210	nM	22765901												
350241	Q8TDV5	VAOPWNNCICWMMV-UHFFFAOYSA-N	EC50	466	466	nM	22545772												
350308	Q8TDV5	VARCYYDABPMLBA-UHFFFAOYSA-N	EC50	1049	1049	nM	23234271												
350424	Q8TDV5	VAUXCDKWINZQLS-UHFFFAOYSA-N	EC50	69	69	nM	24332491												
350920	Q8TDV5	VBMAKZPMMFCPCN-UHFFFAOYSA-N	EC50	68	68	nM	24508142												
351055	Q8TDV5	VBOWIIBNJFCQGR-OAQYLSRUSA-N	EC50	2	2	nM	24900416												
351397	Q8TDV5	VCDWNLPHRCJKJZ-UHFFFAOYSA-N	EC50	1029	1029	nM	22765901												
352388	Q8TDV5	VDNHQORIQOKFQK-UHFFFAOYSA-N	EC50	0	10000	nM	24751443												
352566	Q8TDV5	VDTYDSXZHPYFFC-UHFFFAOYSA-N	EC50	490	490	nM	24508142												
354393	Q8TDV5	VGIOZQMDHCDIJC-UHFFFAOYSA-N	EC50	1028	1028	nM	23234271												
355080	Q8TDV5	VHFAEJZHWSBDMY-UHFFFAOYSA-N	EC50	0	10000	nM	23357035												
355883	Q8TDV5	VIHHDUZIXQQMCS-MRXNPFEDSA-N	EC50	199.53	199.53	nM	"MedChemComm, (2013) 4:1:95"												
355995	Q8TDV5	VIMRYZSSMLZOQX-UHFFFAOYSA-N	EC50	1	1	nM	24751443												
356055	Q8TDV5	VIPPGNDMWVWXRM-UHFFFAOYSA-N	EC50	462	462	nM	23177788												
356599	Q8TDV5	VJJZZGAKCBICGP-UHFFFAOYSA-N	EC50	0	10000	nM	23357035												
356690	Q8TDV5	VJNFWQAQCOXLMV-UHFFFAOYSA-N	EC50	10	10	nM	18698756												
356796	Q8TDV5	VJSRKELPFTVDAV-UHFFFAOYSA-N	EC50	338	338	nM	21273063												
357324	Q8TDV5	VKOBKLHGFJEPIN-UHFFFAOYSA-N	EC50	6.3	6.3	nM	21444206												
